Agency Name,State Name [District] Latest available year,Prekindergarten Students - American Indian/Alaska Native [District] 2016-17,Prekindergarten Students - Asian or Asian/Pacific Islander [District] 2016-17,Prekindergarten Students - Hispanic [District] 2016-17,Prekindergarten Students - Black [District] 2016-17,Prekindergarten Students - White [District] 2016-17,Prekindergarten Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Prekindergarten Students Two or More Races [District] 2016-17,Kindergarten Students - American Indian/Alaska Native [District] 2016-17,Kindergarten Students - Asian or Asian/Pacific Islander [District] 2016-17,Kindergarten Students - Hispanic [District] 2016-17,Kindergarten Students - Black [District] 2016-17,Kindergarten Students White [District] 2016-17,Kindergarten Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Kindergarten Students Two or More Races [District] 2016-17,Grade 1 Students - American Indian/Alaska Native [District] 2016-17,Grade 1 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 1 Students - Hispanic [District] 2016-17,Grade 1 Students - Black [District] 2016-17,Grade 1 Students - White [District] 2016-17,Grade 1 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 1 Students - Two or More Races [District] 2016-17,Grade 2 Students - American Indian/Alaska Native [District] 2016-17,Grade 2 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 2 Students - Hispanic [District] 2016-17,Grade 2 Students - Black [District] 2016-17,Grade 2 Students - White [District] 2016-17,Grade 2 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 2 Students - Two or More Races [District] 2016-17,Grade 3 Students - American Indian/Alaska Native [District] 2016-17,Grade 3 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 3 Students - Hispanic [District] 2016-17,Grade 3 Students - Black [District] 2016-17,Grade 3 Students - White [District] 2016-17,Grade 3 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 3 Students - Two or More Races [District] 2016-17,Grade 4 Students - American Indian/Alaska Native [District] 2016-17,Grade 4 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 4 Students - Hispanic [District] 2016-17,Grade 4 Students - Black [District] 2016-17,Grade 4 Students - White [District] 2016-17,Grade 4 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 4 Students - Two or More Races [District] 2016-17,Grade 5 Students - American Indian/Alaska Native [District] 2016-17,Grade 5 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 5 Students - Hispanic [District] 2016-17,Grade 5 Students - Black [District] 2016-17,Grade 5 Students - White [District] 2016-17,Grade 5 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 5 Students - Two or More Races [District] 2016-17
GOLETA UNION ELEMENTARY,California,†,†,†,†,†,†,†,1,45,261,5,210,1,46,–,37,240,2,199,–,33,1,38,253,5,154,–,27,1,39,238,5,188,–,27,1,32,261,7,171,–,20,–,37,275,3,171,–,35
GONZALES UNIFIED,California,†,†,†,†,†,†,†,–,1,189,–,1,–,1,–,1,156,–,1,–,2,–,1,154,–,1,–,–,1,–,158,–,3,–,–,1,–,193,–,4,1,1,2,2,181,–,2,–,–
GORMAN JOINT,California,†,†,†,†,†,†,†,–,11,62,8,87,–,23,1,10,48,9,84,–,10,–,7,42,4,95,1,18,1,6,55,7,71,–,15,–,13,57,10,88,2,16,1,7,43,4,91,1,19
GRANT ELEMENTARY,California,†,†,†,†,†,†,†,–,2,9,1,69,1,11,1,2,8,–,49,–,5,–,2,8,–,55,–,5,–,–,9,1,53,–,13,2,4,12,–,60,–,4,2,3,7,–,60,–,4
GRASS VALLEY ELEMENTARY,California,†,†,†,†,†,†,†,2,1,42,4,182,–,2,5,3,44,1,140,–,–,6,11,34,1,127,2,–,7,3,38,5,163,–,–,2,2,28,1,163,1,–,11,3,26,2,141,–,4
GRATTON ELEMENTARY,California,†,†,†,†,†,†,†,–,1,2,–,12,–,–,–,–,–,–,15,–,–,1,–,4,–,11,–,–,–,1,2,1,12,–,–,–,1,2,–,9,–,1,–,1,2,–,13,–,–
GRAVENSTEIN UNION ELEMENTARY,California,†,†,†,†,†,†,†,2,5,20,–,55,1,7,2,2,13,–,53,–,10,–,4,17,–,42,1,13,–,4,15,–,57,–,6,–,1,17,1,49,–,10,–,5,17,–,46,–,5
GRAVES ELEMENTARY,California,†,†,†,†,†,†,†,–,–,7,–,2,–,–,–,1,2,–,1,–,–,–,1,1,–,–,–,–,–,–,3,–,3,–,–,–,–,4,–,–,–,1,–,–,6,–,–,1,–
GREATER ANAHEIM SELPA JPA,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
GREEN POINT ELEMENTARY,California,†,†,†,†,†,†,†,0,0,0,0,0,0,0,–,–,–,–,2,–,–,–,–,–,–,1,–,–,–,–,–,–,3,–,–,–,–,–,–,1,–,–,–,–,–,–,1,–,–
GREENFIELD UNION,California,†,†,†,†,†,†,†,2,27,1005,84,90,2,18,3,22,874,70,67,–,14,3,24,851,77,63,–,16,4,19,874,76,64,–,7,4,15,801,67,68,2,13,1,32,872,69,76,–,17
GREENFIELD UNION ELEMENTARY,California,†,†,†,†,†,†,†,–,1,442,–,8,–,1,–,3,374,–,6,–,–,2,–,385,1,4,–,–,–,2,373,1,7,1,1,–,–,394,–,4,1,–,–,3,412,–,4,1,–
GRENADA ELEMENTARY,California,†,†,†,†,†,†,†,2,–,1,–,28,–,4,–,–,2,–,17,–,3,–,–,2,1,18,–,3,–,–,3,–,15,–,1,1,–,1,–,20,–,2,–,–,3,–,19,–,1
GRIDLEY UNIFIED,California,†,†,†,†,†,†,†,–,5,94,1,62,–,2,1,4,99,1,53,–,4,–,6,81,–,46,2,3,–,4,84,1,47,–,7,–,6,89,–,43,–,9,–,2,91,1,50,–,9
GROSSMONT UNION HIGH,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
GUADALUPE UNION ELEMENTARY,California,†,†,†,†,†,†,†,1,1,162,1,2,–,1,–,2,127,2,5,–,1,1,–,103,–,3,–,–,–,–,148,2,1,–,–,–,2,132,–,3,–,1,–,2,154,–,1,–,–
GUERNEVILLE ELEMENTARY,California,†,†,†,†,†,†,†,4,–,8,3,15,–,–,2,1,9,–,16,1,–,–,–,10,–,18,–,1,2,1,7,–,15,–,–,1,1,14,1,20,–,1,2,–,10,1,26,–,1
GUSTINE UNIFIED,California,†,†,†,†,†,†,†,1,1,124,1,19,–,6,2,1,108,1,17,–,2,1,–,126,–,17,–,3,–,2,108,–,9,–,4,1,2,120,1,13,–,2,2,1,120,2,18,1,2
HACIENDA LA PUENTE UNIFIED,California,†,†,†,†,†,†,†,3,281,1283,15,46,–,29,2,216,1102,11,38,1,17,1,196,1021,10,42,3,10,1,224,1072,12,40,1,11,–,199,1088,8,38,4,6,1,217,1168,7,53,10,7
HAMILTON UNIFIED,California,†,†,†,†,†,†,†,–,–,49,–,1,–,2,–,1,43,–,–,–,3,–,–,40,–,–,–,3,–,1,49,–,–,–,4,–,–,34,–,–,–,1,–,1,43,–,3,–,4
HANFORD ELEMENTARY,California,†,†,†,†,†,†,†,4,9,574,34,130,2,26,3,12,454,26,106,1,23,3,4,472,36,100,2,19,3,12,511,27,105,–,27,1,14,514,28,95,–,24,4,17,483,29,98,1,14
HANFORD JOINT UNION HIGH,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
HAPPY CAMP UNION ELEMENTARY,California,†,†,†,†,†,†,†,9,–,1,–,7,–,3,7,–,1,–,4,–,1,3,–,–,–,2,–,2,6,–,1,–,3,–,–,4,–,1,–,3,–,4,8,–,3,–,6,–,4
HAPPY VALLEY ELEMENTARY,California,†,†,†,†,†,†,†,–,2,–,–,9,–,3,1,1,1,1,10,–,5,–,–,2,–,15,–,2,–,2,–,–,13,–,6,1,–,2,–,14,–,1,–,1,1,–,16,–,–
HAPPY VALLEY UNION ELEMENTARY,California,†,†,†,†,†,†,†,5,4,13,–,44,–,–,3,2,8,1,40,–,–,4,2,4,–,36,–,2,1,3,12,1,28,1,2,4,6,10,–,39,1,3,3,3,10,–,43,–,–
HARMONY UNION ELEMENTARY,California,†,†,†,†,†,†,†,–,–,11,–,39,–,5,1,–,10,–,44,–,4,1,–,4,1,40,–,1,–,3,8,–,27,–,11,–,1,6,1,44,–,3,1,2,8,1,32,–,5
HART ROP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
HART-RANSOM UNION ELEMENTARY,California,†,†,†,†,†,†,†,–,7,74,1,75,1,4,–,11,55,2,57,–,3,1,6,54,2,50,–,5,1,5,57,2,56,–,3,–,4,51,3,55,–,4,–,3,50,3,60,1,6
HAWTHORNE,California,†,†,†,†,†,†,†,8,40,719,198,21,15,17,4,24,655,213,25,9,3,1,21,585,175,25,12,6,5,29,640,166,19,9,7,1,37,662,177,20,16,9,3,22,650,183,19,8,4
HAYWARD UNIFIED,California,†,†,†,†,†,†,†,4,259,1328,148,109,77,98,6,255,1150,161,102,61,84,2,240,1147,163,99,53,93,5,238,1246,152,81,59,73,7,245,1188,171,87,56,62,7,262,1211,167,133,58,69
HEALDSBURG UNIFIED,California,†,†,†,†,†,†,†,1,1,77,–,43,–,–,–,–,64,–,46,–,–,–,–,61,–,28,1,–,–,1,74,1,29,1,1,–,2,70,–,29,–,–,–,2,65,2,30,2,1
HEBER ELEMENTARY,California,†,†,†,†,†,†,†,–,–,175,–,3,–,–,–,–,131,–,–,–,1,–,–,128,–,1,–,–,–,–,142,–,–,–,–,–,–,134,–,1,–,1,–,–,122,–,1,–,–
HELENDALE ELEMENTARY,California,†,†,†,†,†,†,†,1,6,78,7,113,3,10,1,5,56,7,69,–,5,1,6,63,7,71,2,13,1,3,73,4,92,1,10,–,4,56,6,91,–,12,–,4,65,7,80,1,13
HEMET UNIFIED,California,†,†,†,†,†,†,†,16,25,1017,154,454,5,71,13,20,852,156,378,4,71,13,17,900,134,358,2,70,7,26,861,130,384,5,74,14,22,976,142,437,3,75,12,32,971,144,451,2,76
HERMOSA BEACH CITY ELEMENTARY,California,†,†,†,†,†,†,†,–,6,22,1,81,–,18,–,7,10,3,102,–,16,–,5,13,1,97,3,24,2,13,20,1,108,2,1,–,8,13,1,119,1,10,1,9,23,–,116,2,19
HESPERIA UNIFIED,California,†,†,†,†,†,†,†,3,10,1171,84,198,–,320,2,2,1046,44,93,–,441,1,11,1013,25,79,1,448,2,5,1051,34,79,–,537,3,8,1054,33,73,–,517,2,3,1167,28,113,2,512
HICKMAN COMMUNITY CHARTER,California,†,†,†,†,†,†,†,–,4,28,2,86,–,3,2,2,21,2,77,2,2,–,3,21,1,76,2,7,1,2,23,2,80,1,4,–,3,24,–,92,1,5,–,5,33,2,82,1,4
HILLSBOROUGH CITY ELEMENTARY,California,†,†,†,†,†,†,†,–,47,4,–,75,1,25,–,43,3,1,88,–,20,–,45,7,–,68,–,23,–,48,6,1,109,–,11,2,46,6,1,81,–,16,–,42,4,–,103,1,14
HILMAR UNIFIED,California,†,†,†,†,†,†,†,1,2,116,1,158,–,9,1,2,78,–,100,–,2,1,1,47,2,84,–,2,1,–,85,1,80,–,1,1,–,81,–,85,–,1,2,2,75,1,95,–,4
HOLLISTER,California,†,†,†,†,†,†,†,–,9,606,1,102,1,23,1,4,437,1,98,1,6,–,8,503,2,96,–,12,4,10,542,2,83,1,7,3,11,546,2,86,–,12,2,18,528,4,124,1,8
HOLTVILLE UNIFIED,California,†,†,†,†,†,†,†,–,–,115,1,14,–,–,–,–,81,1,10,–,1,–,1,94,–,9,–,–,–,–,103,–,10,–,–,–,–,110,–,7,–,–,–,–,90,–,15,–,2
HOPE ELEMENTARY,California,†,†,†,†,†,†,†,1,5,67,1,84,–,13,–,6,37,2,74,–,6,–,7,44,4,66,–,10,–,10,46,4,92,1,4,–,3,51,3,70,1,5,–,4,49,–,87,1,7
HOPE ELEMENTARY,California,†,†,†,†,†,†,†,–,–,22,–,20,–,–,–,–,14,–,11,–,–,–,–,14,–,15,–,–,–,–,18,–,8,–,–,–,–,20,–,8,–,–,–,1,10,–,11,–,1
HORICON ELEMENTARY,California,†,†,†,†,†,†,†,3,–,1,–,3,–,–,–,–,3,–,–,–,1,–,–,5,–,–,–,–,–,–,6,–,1,–,–,1,–,3,–,2,–,–,1,–,3,–,3,–,1
HORNBROOK ELEMENTARY,California,†,†,†,†,†,†,†,–,–,1,–,2,–,–,1,–,1,–,3,–,1,–,–,1,–,5,–,2,–,–,–,–,6,–,2,–,–,–,–,2,–,3,1,–,–,–,3,–,5
HOT SPRINGS ELEMENTARY,California,†,†,†,†,†,†,†,–,–,–,–,4,–,–,–,–,1,–,1,–,1,–,–,2,–,–,–,–,–,–,–,–,1,–,1,–,–,–,–,1,–,1,–,–,–,–,2,–,–
HOWELL MOUNTAIN ELEMENTARY,California,†,†,†,†,†,†,†,–,–,6,2,7,–,–,–,–,7,–,4,–,–,–,–,3,–,5,–,–,–,–,5,–,1,–,–,–,1,2,1,3,–,–,–,1,6,–,3,–,–
HUENEME ELEMENTARY,California,†,†,†,†,†,†,†,3,16,852,10,140,1,18,–,28,697,9,198,1,23,6,34,737,7,81,4,25,23,33,736,10,65,1,26,2,35,830,9,57,4,34,1,42,881,8,61,2,21
HUGHES-ELIZABETH LAKES UNION ELEMENTARY,California,†,†,†,†,†,†,†,–,–,11,1,23,–,3,–,–,3,1,17,–,1,–,–,6,–,16,–,1,–,–,7,–,11,–,1,–,1,4,–,9,–,1,–,–,5,–,13,–,–
HUGHSON UNIFIED,California,†,†,†,†,†,†,†,–,2,108,–,58,–,–,–,4,66,–,52,–,1,–,1,84,–,47,–,1,–,–,75,–,55,–,–,–,1,101,–,62,–,1,–,–,100,–,60,1,2
HUMBOLDT COUNTY OFFICE OF EDUCATION,California,†,†,†,†,†,†,†,–,–,2,–,4,–,2,–,1,2,–,4,–,3,–,–,3,–,1,–,1,–,–,–,–,6,–,1,–,–,–,–,4,1,1,–,1,2,–,2,–,2
HUMBOLDT COUNTY ROP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
HUNTINGTON BEACH CITY ELEMENTARY,California,†,†,†,†,†,†,†,1,74,148,2,468,2,100,1,69,140,6,461,2,68,–,81,143,4,403,8,57,2,90,170,4,432,1,100,4,83,149,3,444,3,70,–,90,165,2,504,2,85
HUNTINGTON BEACH UNION HIGH,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
HYDESVILLE ELEMENTARY,California,†,†,†,†,†,†,†,–,–,–,–,17,–,1,–,–,1,–,21,–,3,–,–,2,–,15,–,4,–,–,3,–,19,–,–,–,–,4,–,18,–,2,–,–,2,–,14,–,3
IGO ONO PLATINA UNION ELEMENTARY,California,†,†,†,†,†,†,†,–,–,–,1,3,–,–,1,1,–,–,2,–,–,–,–,2,–,6,–,–,–,1,1,1,2,–,–,–,–,1,1,1,–,–,–,–,–,–,3,–,–
IMPERIAL COUNTY OFFICE OF EDUCATION,California,†,†,†,†,†,†,†,–,1,29,–,1,–,–,–,–,35,–,2,–,–,1,–,36,–,3,–,–,–,–,17,–,–,–,–,–,–,29,–,1,–,–,–,–,22,1,–,–,–
IMPERIAL UNIFIED,California,†,†,†,†,†,†,†,–,2,311,4,34,–,2,–,2,240,2,37,–,2,–,4,255,2,25,–,4,–,1,298,2,39,–,1,–,4,245,3,37,–,1,1,6,257,4,37,–,2
IMPERIAL VALLEY ROP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
IMPERIAL VALLEY ROP JPA,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
INDIAN DIGGINGS ELEMENTARY,California,†,†,†,†,†,†,†,–,–,1,–,–,–,–,0,0,0,0,0,0,0,–,–,–,–,1,–,–,–,–,–,–,4,–,2,–,–,2,–,1,–,–,–,–,–,–,3,–,–
INDIAN SPRINGS ELEMENTARY,California,†,†,†,†,†,†,†,–,–,1,–,1,–,–,–,–,1,–,1,–,–,–,–,–,–,1,–,–,–,–,–,–,2,–,–,–,–,–,–,2,–,–,–,–,–,–,1,–,–
INGLEWOOD UNIFIED,California,†,†,†,†,†,†,†,15,10,695,483,16,4,12,8,5,669,455,5,4,15,16,5,671,467,5,6,12,9,6,636,440,8,4,12,15,5,657,480,5,4,8,7,6,634,447,9,5,8
INYO COUNTY CAREER TECHNICAL EDUCATION,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
INYO COUNTY OFFICE OF EDUCATION,California,†,†,†,†,†,†,†,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IRVINE UNIFIED,California,†,†,†,†,†,†,†,4,1220,304,44,704,3,294,4,1248,293,51,694,3,269,3,1224,296,33,644,5,240,4,1267,293,52,710,1,252,8,1315,310,42,702,8,263,6,1372,274,56,781,2,257
ISLAND UNION ELEMENTARY,California,†,†,†,†,†,†,†,–,–,20,–,22,–,4,–,–,11,–,25,–,1,–,–,14,1,23,–,2,–,–,15,–,28,–,2,–,–,20,1,24,–,2,–,–,17,–,30,–,1
JACOBY CREEK ELEMENTARY,California,†,†,†,†,†,†,†,1,–,6,–,48,–,7,–,1,6,–,33,–,2,1,2,2,–,34,–,3,–,2,6,–,37,–,3,–,1,9,–,34,–,11,1,2,3,–,44,–,2
JAMESTOWN ELEMENTARY,California,†,†,†,†,†,†,†,2,–,15,1,36,–,7,2,–,9,–,21,–,2,–,1,10,–,21,–,2,1,–,11,–,19,–,2,2,–,11,–,24,–,1,3,–,10,–,22,–,3
JAMUL-DULZURA UNION ELEMENTARY,California,†,†,†,†,†,†,†,–,3,55,1,46,–,5,–,–,34,4,35,–,8,–,2,42,–,32,–,2,2,–,42,–,28,–,4,–,2,30,2,35,–,3,–,1,50,1,30,–,3
JANESVILLE UNION ELEMENTARY,California,†,†,†,†,†,†,†,–,–,4,1,27,–,2,1,–,5,–,25,–,3,–,–,2,–,25,–,–,1,1,4,–,27,–,4,1,–,2,–,39,–,1,–,1,5,–,35,–,–
JEFFERSON ELEMENTARY,California,†,†,†,†,†,†,†,–,–,1,–,–,–,–,–,–,1,–,–,–,–,0,0,0,0,0,0,0,–,–,1,–,3,–,–,–,–,–,–,1,–,–,–,–,2,–,1,–,–
JEFFERSON ELEMENTARY,California,†,†,†,†,†,†,†,–,358,318,13,75,8,49,2,327,266,11,63,9,33,–,283,244,12,47,4,40,1,347,287,12,66,9,35,2,339,257,13,62,4,29,–,359,254,17,64,7,36
JEFFERSON ELEMENTARY,California,†,†,†,†,†,†,†,–,37,109,7,82,1,19,1,38,84,6,71,2,14,1,32,79,14,74,3,15,2,38,87,8,73,3,15,1,42,109,11,79,3,8,–,40,99,11,79,2,22
JEFFERSON UNION HIGH,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
JOHN SWETT UNIFIED,California,†,†,†,†,†,†,†,2,21,39,25,18,–,29,–,24,48,28,17,–,17,1,20,38,26,27,–,14,2,25,41,19,20,1,10,4,17,37,22,12,–,16,2,25,37,30,17,–,17
JOHNSTONVILLE ELEMENTARY,California,†,†,†,†,†,†,†,–,–,7,–,13,–,2,–,–,3,–,19,–,1,–,–,2,–,13,–,4,–,–,3,–,19,–,–,–,–,4,–,21,–,–,–,1,4,–,18,–,1
JULIAN UNION ELEMENTARY,California,†,†,†,†,†,†,†,2,16,121,8,166,1,30,6,8,89,7,182,–,24,7,15,77,7,152,–,34,5,12,93,6,159,–,35,6,14,84,4,176,–,28,8,15,94,7,153,–,41
JULIAN UNION HIGH,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
JUNCTION CITY ELEMENTARY,California,†,†,†,†,†,†,†,1,–,1,–,4,1,1,–,–,–,–,5,–,–,–,–,–,–,7,–,–,1,–,1,–,7,–,1,–,–,3,–,4,1,–,2,–,–,–,5,–,2
JUNCTION ELEMENTARY,California,†,†,†,†,†,†,†,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,–,–,–,1,–,–,4,–,–,–,–,–,1,1,–,–,–,–,–,–,2,–,1,–,1,–,–
JUNCTION ELEMENTARY,California,†,†,†,†,†,†,†,1,2,5,–,47,–,2,–,–,4,–,26,–,–,3,–,1,–,19,–,1,–,–,1,–,22,–,1,3,–,3,–,21,–,3,–,–,5,–,18,–,1
JURUPA UNIFIED,California,†,†,†,†,†,†,†,1,28,1346,33,129,1,62,2,19,1173,18,152,4,33,4,16,1216,26,114,3,26,2,22,1236,18,129,3,21,3,25,1226,18,117,3,15,2,18,1322,21,142,3,23
KASHIA ELEMENTARY,California,†,†,†,†,†,†,†,1,–,–,–,–,–,2,3,–,–,–,–,–,–,1,–,–,–,–,–,–,1,–,–,–,–,–,–,–,–,–,–,–,–,1,0,0,0,0,0,0,0
KELSEYVILLE UNIFIED,California,†,†,†,†,†,†,†,5,1,71,2,82,–,4,2,–,49,1,59,–,5,2,–,46,2,59,–,10,4,–,51,–,56,–,8,4,1,57,3,58,–,4,5,1,60,3,51,–,6
KENTFIELD ELEMENTARY,California,†,†,†,†,†,†,†,–,6,19,5,105,–,30,–,8,11,–,60,–,30,–,6,9,–,99,–,19,–,3,20,–,85,–,19,–,6,19,–,85,–,12,1,6,12,2,115,1,12
KENWOOD,California,†,†,†,†,†,†,†,–,–,2,–,17,–,1,–,–,–,–,12,–,4,–,–,1,–,18,–,1,–,–,6,–,14,–,1,–,–,1,–,20,–,1,–,1,1,1,13,–,1
KEPPEL UNION ELEMENTARY,California,†,†,†,†,†,†,†,–,–,228,16,53,–,9,–,1,183,16,32,–,4,1,–,218,13,43,–,5,1,1,194,16,29,–,9,2,2,237,19,48,–,7,–,–,249,11,42,–,5
KERMAN UNIFIED,California,†,†,†,†,†,†,†,4,13,405,3,32,–,1,3,22,338,4,30,–,–,–,20,338,4,34,–,–,2,15,344,–,37,–,1,3,16,326,–,34,–,2,1,24,332,3,47,–,3
KERN COUNTY OFFICE OF EDUCATION,California,†,†,†,†,†,†,†,1,2,130,10,69,–,7,2,6,121,2,70,1,7,2,7,128,9,73,–,6,2,3,140,5,85,–,8,1,4,139,8,85,–,3,–,4,133,7,84,–,6
KERN COUNTY ROP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
KERN HIGH,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
KERN HIGH ROC,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
KERNVILLE UNION ELEMENTARY,California,†,†,†,†,†,†,†,7,–,25,2,84,–,4,2,1,16,–,73,–,2,6,2,7,2,78,–,–,5,1,27,3,82,–,–,3,2,22,–,70,–,–,1,1,12,1,68,–,–
KEYES UNION,California,†,†,†,†,†,†,†,–,6,101,1,32,–,2,–,6,80,–,40,1,1,–,3,79,–,34,–,3,–,3,56,–,36,–,4,–,2,63,–,35,–,5,–,4,64,–,44,1,1
KING CITY UNION,California,†,†,†,†,†,†,†,–,4,351,–,14,–,5,–,4,273,1,10,–,2,1,4,273,–,6,–,–,–,1,260,–,12,–,1,3,6,280,1,17,–,1,–,2,290,1,14,–,1
KINGS CANYON JOINT UNIFIED,California,†,†,†,†,†,†,†,3,10,736,1,90,2,21,5,7,649,2,69,–,7,4,8,656,2,56,–,10,1,7,666,1,72,–,16,2,13,691,1,68,–,9,–,10,680,–,73,–,11
KINGS COUNTY OFFICE OF EDUCATION,California,†,†,†,†,†,†,†,–,1,15,1,11,–,–,–,1,15,2,1,–,1,–,2,14,1,4,–,1,1,–,15,–,3,2,–,–,2,12,2,6,–,1,1,–,8,2,3,–,–
KINGS COUNTY ROP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
KINGS RIVER UNION ELEMENTARY,California,†,†,†,†,†,†,†,–,–,61,–,3,–,–,–,–,53,–,4,–,–,–,–,41,–,6,–,–,–,–,39,–,3,–,1,–,1,57,–,5,–,–,–,–,44,–,3,–,–
KINGS RIVER-HARDWICK UNION ELEMENTARY,California,†,†,†,†,†,†,†,–,2,42,–,69,–,2,–,–,41,1,50,–,4,–,–,41,–,45,–,5,1,1,37,–,47,–,3,–,–,31,–,50,–,4,–,1,32,–,52,–,5
KINGS SCHOOLS TRANSPORTATION AUTHORITY JPA,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
KINGSBURG ELEMENTARY CHARTER,California,†,†,†,†,†,†,†,–,10,182,2,91,–,15,–,7,140,2,82,–,8,1,7,143,–,64,–,8,–,4,145,1,89,–,8,–,7,153,–,63,–,5,–,6,158,–,75,–,4
KINGSBURG JOINT UNION HIGH,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
KIRKWOOD ELEMENTARY,California,†,†,†,†,†,†,†,–,1,7,–,10,–,–,–,–,3,–,9,–,–,–,–,3,–,5,–,1,–,–,1,–,13,–,–,–,–,2,–,5,–,–,1,–,3,–,7,–,1
KIT CARSON UNION ELEMENTARY,California,†,†,†,†,†,†,†,–,–,22,2,20,–,–,–,–,20,2,19,–,–,–,–,29,–,8,–,–,–,–,22,1,18,1,–,–,–,25,–,11,–,–,–,–,39,1,17,–,1
KLAMATH RIVER UNION ELEMENTARY,California,†,†,†,†,†,†,†,–,–,–,–,1,–,1,–,–,–,1,2,–,–,–,–,–,–,1,–,2,–,–,–,–,1,–,1,2,–,–,1,3,–,–,–,–,2,–,2,–,1
KLAMATH-TRINITY JOINT UNIFIED,California,†,†,†,†,†,†,†,67,–,3,–,12,1,4,65,–,3,–,12,–,–,63,2,7,–,6,–,3,76,–,4,1,7,1,1,58,–,4,–,10,1,2,68,–,4,1,7,–,3
