Agency Name,State Name [District] Latest available year,Grade 6 Students - American Indian/Alaska Native [District] 2016-17,Grade 6 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 6 Students - Hispanic [District] 2016-17,Grade 6 Students - Black [District] 2016-17,Grade 6 Students - White [District] 2016-17,Grade 6 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 6 Students - Two or More Races [District] 2016-17,Grade 7 Students - American Indian/Alaska Native [District] 2016-17,Grade 7 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 7 Students - Hispanic [District] 2016-17,Grade 7 Students - Black [District] 2016-17,Grade 7 Students - White [District] 2016-17,Grade 7 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 7 Students - Two or More Races [District] 2016-17,Grade 8 Students - American Indian/Alaska Native [District] 2016-17,Grade 8 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 8 Students - Hispanic [District] 2016-17,Grade 8 Students - Black [District] 2016-17,Grade 8 Students - White [District] 2016-17,Grade 8 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 8 Students - Two or More Races [District] 2016-17,Grade 9 Students - American Indian/Alaska Native [District] 2016-17,Grade 9 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 9 Students - Hispanic [District] 2016-17,Grade 9 Students - Black [District] 2016-17,Grade 9 Students - White [District] 2016-17,Grade 9 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 9 Students - Two or More Races [District] 2016-17
ABC UNIFIED,California,3,562,777,116,110,10,53,4,592,711,139,95,17,38,3,594,758,132,109,16,31,8,608,710,171,92,14,37
ACALANES UNION HIGH,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,1,200,129,27,896,3,110
ACKERMAN CHARTER,California,1,2,5,1,49,–,4,–,2,8,–,49,–,3,–,2,5,–,44,–,2,†,†,†,†,†,†,†
ACTON-AGUA DULCE UNIFIED,California,1,70,221,38,362,–,61,1,25,188,31,302,2,59,4,18,222,35,288,1,49,4,15,319,96,233,5,71
ADELANTO ELEMENTARY,California,2,15,612,208,89,10,41,2,13,611,205,77,16,39,4,17,505,208,75,8,46,2,1,205,67,74,2,27
ALAMEDA CNTY. STUDENT EXCHANGE PROG.,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
ALAMEDA COUNTY OFFICE OF EDUCATION,California,1,22,119,18,16,–,19,–,2,105,17,2,–,–,1,1,69,8,–,–,2,1,2,70,48,5,1,2
ALAMEDA UNIFIED,California,1,267,140,68,252,5,112,2,303,130,89,276,10,82,1,319,126,79,261,13,57,2,341,155,91,239,4,52
ALBANY CITY UNIFIED,California,–,73,60,6,105,1,51,–,90,51,10,132,1,41,1,94,40,9,124,1,29,–,87,49,8,101,–,32
ALEXANDER VALLEY UNION ELEMENTARY,California,–,–,8,–,8,–,–,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
ALHAMBRA UNIFIED,California,2,576,514,7,23,2,23,1,634,489,5,22,1,23,1,598,493,5,28,1,15,3,947,652,13,26,1,38
ALISAL UNION,California,–,20,1203,6,19,3,19,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
ALLENSWORTH ELEMENTARY,California,–,–,8,–,–,–,–,–,–,5,–,–,–,–,–,–,10,–,–,–,–,†,†,†,†,†,†,†
ALPAUGH UNIFIED,California,–,2,40,2,19,–,5,–,1,34,–,16,–,2,–,–,36,1,19,–,6,–,1,38,3,25,–,5
ALPINE COUNTY OFFICE OF EDUCATION,California,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
ALPINE COUNTY UNIFIED,California,2,–,1,–,7,–,–,5,–,1,–,3,–,1,3,–,1,–,4,–,–,="0",="0",="0",="0",="0",="0",="0"
ALPINE UNION ELEMENTARY,California,11,6,41,9,138,–,3,10,7,38,3,100,2,2,13,5,42,6,135,2,2,†,†,†,†,†,†,†
ALTA LOMA ELEMENTARY,California,3,60,298,49,247,3,9,1,74,294,38,305,3,8,2,57,290,63,311,7,7,†,†,†,†,†,†,†
ALTA VISTA ELEMENTARY,California,–,2,63,–,6,2,–,1,–,42,–,4,1,–,1,–,42,–,12,4,–,†,†,†,†,†,†,†
ALTA-DUTCH FLAT UNION ELEMENTARY,California,–,–,2,–,12,–,–,–,1,–,–,6,–,1,–,–,–,–,8,–,2,†,†,†,†,†,†,†
ALUM ROCK UNION ELEMENTARY,California,1,211,1144,21,25,18,24,2,263,1039,17,29,15,10,2,263,1039,23,30,10,14,†,†,†,†,†,†,†
ALVIEW-DAIRYLAND UNION ELEMENTARY,California,–,1,24,–,17,–,1,–,1,23,–,7,–,–,–,1,19,–,15,–,–,†,†,†,†,†,†,†
ALVINA ELEMENTARY,California,–,–,18,–,2,–,–,–,–,11,–,–,1,–,2,–,11,–,3,–,–,†,†,†,†,†,†,†
ALVORD UNIFIED,California,2,60,1166,49,148,4,15,3,72,1187,45,164,10,12,3,69,1182,47,169,3,16,–,80,1151,54,159,6,32
AMADOR COUNTY OFFICE OF EDUCATION,California,1,–,2,–,13,–,1,2,–,6,–,34,–,6,–,–,7,–,21,–,3,1,–,4,–,8,–,2
AMADOR COUNTY ROP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
AMADOR COUNTY UNIFIED,California,6,4,58,4,224,–,19,7,2,39,1,186,1,16,6,1,62,4,205,1,22,8,3,68,1,228,2,19
ANAHEIM ELEMENTARY,California,2,155,2267,40,120,9,21,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
ANAHEIM UNION HIGH,California,†,†,†,†,†,†,†,29,794,3442,114,484,35,89,7,873,3452,116,504,27,91,18,809,3453,115,485,28,90
ANDERSON UNION HIGH,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,23,14,72,8,329,1,12
ANDERSON VALLEY UNIFIED,California,–,–,38,1,12,–,–,–,–,22,1,7,–,–,–,–,25,–,8,–,2,1,–,22,–,6,–,–
ANTELOPE ELEMENTARY,California,1,3,27,3,85,–,3,2,1,22,2,68,1,2,3,2,20,–,73,–,1,†,†,†,†,†,†,†
ANTELOPE VALLEY ROP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,="0",="0",="0",="0",="0",="0",="0"
ANTELOPE VALLEY SCHOOLS TRANSPORTATION AGENCY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
ANTELOPE VALLEY UNION HIGH,California,†,†,†,†,†,†,†,–,10,126,32,32,–,13,–,11,116,20,35,–,9,11,137,3628,1018,769,6,277
ANTIOCH UNIFIED,California,8,118,547,300,190,18,75,8,103,564,354,178,24,65,11,130,569,343,217,17,59,6,135,542,334,203,19,56
APPLE VALLEY UNIFIED,California,5,26,510,108,448,4,26,3,34,500,88,436,3,24,1,44,511,88,409,5,13,3,37,479,100,405,6,22
ARCADIA UNIFIED,California,1,505,106,17,102,–,8,–,512,102,12,115,–,10,–,531,112,19,112,1,7,2,510,120,25,138,–,11
ARCATA ELEMENTARY,California,4,2,10,–,63,–,16,4,2,13,2,64,–,8,5,3,15,1,79,2,8,†,†,†,†,†,†,†
ARCOHE UNION ELEMENTARY,California,–,2,22,1,18,–,3,2,–,27,–,24,1,2,–,1,18,2,19,–,3,†,†,†,†,†,†,†
ARENA UNION ELEMENTARY,California,8,–,11,–,13,–,1,2,–,20,–,15,–,4,3,–,14,–,15,–,–,–,–,3,–,3,–,1
ARENA UNION ELEMENTARY/POINT ARENA JOINT UNION HIGH,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
ARMONA UNION ELEMENTARY,California,3,4,109,3,27,–,3,4,2,99,10,20,–,–,2,1,93,5,29,–,2,1,4,36,2,38,1,8
AROMAS - SAN JUAN UNIFIED,California,–,3,57,–,24,–,–,–,1,66,–,25,–,–,–,2,82,–,20,–,–,–,–,65,1,30,–,1
ARVIN UNION,California,1,1,327,3,13,–,1,–,–,275,2,4,–,1,1,–,275,2,5,–,–,†,†,†,†,†,†,†
ATASCADERO UNIFIED,California,3,9,89,3,244,–,14,5,10,104,2,233,–,13,6,14,103,7,249,1,10,5,10,108,7,253,1,10
ATWATER ELEMENTARY,California,4,23,408,12,113,–,12,2,24,365,18,108,5,9,6,29,366,16,109,2,7,†,†,†,†,†,†,†
AUBURN UNION ELEMENTARY,California,–,5,75,3,118,–,14,4,3,54,4,153,–,14,2,6,59,3,160,–,10,†,†,†,†,†,†,†
AZUSA UNIFIED,California,1,11,612,13,13,–,4,1,12,627,6,19,–,2,–,12,598,12,22,–,4,4,14,630,12,15,–,2
BAKER VALLEY UNIFIED,California,–,–,10,–,1,–,–,–,–,10,–,–,–,–,–,–,3,–,4,–,–,–,–,10,–,2,–,–
BAKERSFIELD CITY,California,13,45,2614,256,311,6,47,21,40,2504,241,275,6,33,14,42,2379,219,262,7,30,†,†,†,†,†,†,†
BALDWIN PARK UNIFIED,California,2,80,981,5,6,2,–,6,85,988,18,23,2,25,7,86,1010,14,18,3,17,41,92,1356,141,101,5,161
BALDY VIEW ROP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,="0",="0",="0",="0",="0",="0",="0"
BALDY VIEW ROP JPA,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
BALLARD ELEMENTARY,California,–,1,1,–,14,–,–,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
BALLICO-CRESSEY ELEMENTARY,California,–,–,31,–,7,–,–,–,–,20,–,20,–,3,–,3,27,1,10,–,1,†,†,†,†,†,†,†
BANGOR UNION ELEMENTARY,California,–,–,5,–,11,–,–,1,–,–,–,8,–,1,2,–,1,–,8,–,–,†,†,†,†,†,†,†
BANNING UNIFIED,California,11,13,210,23,36,1,10,11,19,209,21,44,–,13,13,23,218,35,41,–,5,13,16,173,31,44,–,6
BANTA ELEMENTARY,California,–,17,28,3,15,–,1,–,7,33,1,13,1,2,–,10,23,1,14,–,1,†,†,†,†,†,†,†
BARSTOW UNIFIED,California,3,8,254,92,116,5,26,5,12,248,82,77,4,26,4,5,201,77,96,7,14,7,6,173,75,104,7,16
BASS LAKE JOINT UNION ELEMENTARY,California,3,1,13,–,76,–,–,2,2,16,1,64,–,1,1,3,12,–,82,1,3,†,†,†,†,†,†,†
BASSETT UNIFIED,California,–,13,255,–,1,–,–,–,10,256,1,1,–,–,–,14,270,2,1,–,–,1,8,238,1,3,1,–
BAYSHORE ELEMENTARY,California,–,26,19,2,–,1,1,–,20,19,2,1,2,1,–,27,18,2,4,5,–,†,†,†,†,†,†,†
BEAR VALLEY UNIFIED,California,2,1,64,1,115,1,4,2,1,55,–,103,1,8,1,2,76,–,124,–,3,1,2,61,4,120,–,3
BEARDSLEY ELEMENTARY,California,2,1,52,5,97,–,7,–,1,77,6,103,–,7,2,–,72,5,82,–,7,†,†,†,†,†,†,†
BEAUMONT UNIFIED,California,8,46,418,55,228,3,30,4,47,410,45,245,1,23,6,42,355,61,275,2,33,8,37,396,66,228,3,17
BELLA VISTA ELEMENTARY,California,1,–,3,1,33,–,–,–,–,4,1,30,–,1,2,2,5,2,26,1,3,†,†,†,†,†,†,†
BELLEVIEW ELEMENTARY,California,–,–,5,–,11,–,–,–,–,4,–,13,–,–,–,–,3,2,9,1,–,†,†,†,†,†,†,†
BELLEVUE UNION,California,1,8,218,2,30,–,4,–,2,33,1,1,–,1,–,1,31,2,8,–,2,–,2,14,–,2,–,–
BELLFLOWER UNIFIED,California,2,84,611,118,89,6,29,3,74,615,117,90,7,28,4,69,627,128,118,7,21,4,84,655,121,92,6,25
BELMONT-REDWOOD SHORES ELEMENTARY,California,3,134,53,6,196,5,43,1,132,59,9,225,4,36,–,111,39,7,213,7,25,†,†,†,†,†,†,†
BELRIDGE ELEMENTARY,California,–,–,6,–,–,–,–,–,–,4,–,–,–,–,–,–,4,–,–,–,–,†,†,†,†,†,†,†
BENICIA UNIFIED,California,1,53,73,30,164,–,55,1,59,55,29,184,1,58,1,35,76,41,167,4,57,–,73,83,41,188,1,62
BENNETT VALLEY UNION ELEMENTARY,California,–,8,19,5,97,1,12,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
BERKELEY UNIFIED,California,1,51,168,115,286,–,128,2,60,186,130,305,1,107,–,78,246,132,285,3,96,–,47,253,146,313,4,105
BERRYESSA UNION ELEMENTARY,California,–,516,181,15,37,5,46,1,546,225,15,38,4,49,–,600,201,20,43,8,26,†,†,†,†,†,†,†
BEVERLY HILLS UNIFIED,California,1,37,28,12,227,–,10,1,32,25,11,216,1,13,1,40,21,8,259,2,11,–,42,29,10,215,1,12
BIG CREEK ELEMENTARY,California,–,–,1,–,4,–,–,–,–,5,–,4,–,–,="0",="0",="0",="0",="0",="0",="0",†,†,†,†,†,†,†
BIG LAGOON UNION ELEMENTARY,California,–,–,–,–,1,–,–,–,–,–,–,1,–,1,–,–,–,–,1,–,–,†,†,†,†,†,†,†
BIG OAK FLAT-GROVELAND UNIFIED,California,–,–,3,–,21,–,1,–,–,4,–,19,–,–,–,–,3,–,16,–,1,–,–,5,–,21,–,1
BIG PINE UNIFIED,California,4,–,5,–,3,–,3,7,–,2,–,2,–,–,8,–,1,–,1,–,–,5,–,1,–,1,–,–
BIG SPRINGS UNION ELEMENTARY,California,–,–,3,–,14,–,2,–,–,5,–,6,–,1,–,1,5,–,12,–,–,†,†,†,†,†,†,†
BIG SUR UNIFIED,California,–,–,2,–,10,–,–,–,–,5,–,8,–,3,–,–,3,–,10,–,–,–,–,2,–,–,–,–
BIG VALLEY JOINT UNIFIED,California,–,–,1,–,9,–,–,–,–,2,–,10,–,–,–,–,2,–,8,–,–,1,–,4,–,7,–,–
BIGGS UNIFIED,California,–,1,17,–,16,–,–,–,–,19,2,24,–,1,–,1,28,–,28,–,–,–,1,21,1,31,–,1
BISHOP UNIFIED,California,26,2,56,3,49,–,5,28,3,62,1,63,–,11,33,2,44,–,62,–,8,17,2,50,–,48,–,13
BITTERWATER-TULLY ELEMENTARY,California,–,–,1,–,1,–,–,–,–,–,–,1,–,–,–,–,2,–,2,–,–,†,†,†,†,†,†,†
BLACK BUTTE UNION ELEMENTARY,California,3,–,6,–,13,1,3,–,1,–,1,18,–,1,1,1,–,1,21,1,1,†,†,†,†,†,†,†
BLACK OAK MINE UNIFIED,California,3,–,9,–,91,–,2,1,–,11,–,77,–,–,1,1,9,2,90,–,–,3,–,6,–,75,–,1
BLAKE ELEMENTARY,California,–,–,–,–,1,–,–,–,–,–,–,1,–,–,–,–,1,–,–,–,–,†,†,†,†,†,†,†
BLOCHMAN UNION ELEMENTARY,California,–,2,31,–,57,–,6,1,1,31,2,64,1,7,2,–,32,–,53,–,4,–,1,20,1,42,–,3
BLP SCHS SELF-INC. WORKERS COMPENSATION,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
BLUE LAKE UNION ELEMENTARY,California,–,–,5,–,11,–,–,4,–,3,–,12,–,3,4,–,–,–,15,–,3,†,†,†,†,†,†,†
BOGUS ELEMENTARY,California,–,–,–,–,2,–,1,="0",="0",="0",="0",="0",="0",="0",–,–,–,–,2,–,–,†,†,†,†,†,†,†
BOLINAS-STINSON UNION,California,–,–,1,–,7,–,1,–,1,–,–,7,–,–,–,1,6,–,9,–,–,†,†,†,†,†,†,†
BONITA UNIFIED,California,–,63,386,22,197,1,65,2,50,349,19,236,1,73,1,57,426,29,252,1,65,1,69,451,38,273,2,79
BONNY DOON UNION ELEMENTARY,California,–,–,–,–,16,–,–,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
BONSALL UNIFIED,CALIFORNIA,11,23,79,3,111,–,13,17,10,72,5,108,–,15,14,8,85,2,114,1,7,5,3,39,4,50,–,7
BORREGO SPRINGS UNIFIED,California,–,–,30,1,11,–,1,1,–,25,–,9,–,–,–,–,27,1,7,–,1,1,3,112,11,9,2,1
BRADLEY UNION ELEMENTARY,California,–,1,6,–,10,–,–,–,–,5,–,11,–,3,2,–,10,–,11,–,1,1,1,4,1,8,–,2
BRAWLEY ELEMENTARY,California,–,3,417,2,23,–,1,–,3,414,4,22,–,–,–,1,384,8,23,–,–,†,†,†,†,†,†,†
BRAWLEY UNION HIGH,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,–,2,388,5,45,2,–
BREA-OLINDA UNIFIED,California,1,118,145,10,144,1,10,–,106,181,8,138,1,16,–,99,163,10,169,2,8,3,84,163,8,152,1,7
BRENTWOOD UNION ELEMENTARY,California,1,98,349,82,433,6,68,4,145,307,111,534,13,60,6,122,322,85,528,7,56,†,†,†,†,†,†,†
BRET HARTE UNION HIGH,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,2,4,30,–,129,–,7
BRIDGEVILLE ELEMENTARY,California,–,–,–,–,3,–,–,–,–,–,–,2,–,–,–,–,–,–,2,–,–,†,†,†,†,†,†,†
BRIGGS ELEMENTARY,California,–,–,69,–,5,–,–,–,–,71,–,7,–,1,–,–,56,–,7,–,–,†,†,†,†,†,†,†
BRISBANE ELEMENTARY,California,–,10,17,1,14,1,5,–,17,13,–,22,–,2,–,18,13,3,16,2,6,†,†,†,†,†,†,†
BRITTAN ELEMENTARY,California,1,–,12,–,46,–,7,1,–,12,–,27,–,7,–,–,12,–,39,–,7,†,†,†,†,†,†,†
BROWNS ELEMENTARY,California,–,–,8,–,9,–,1,–,–,7,–,7,–,1,–,–,4,–,11,–,1,†,†,†,†,†,†,†
BUCKEYE UNION ELEMENTARY,California,3,58,86,7,430,5,38,1,55,107,7,419,2,50,2,57,72,11,434,1,38,†,†,†,†,†,†,†
BUELLTON UNION ELEMENTARY,California,–,1,30,–,31,–,5,1,1,27,–,24,–,3,2,3,41,1,48,–,3,†,†,†,†,†,†,†
BUENA PARK ELEMENTARY,California,1,106,370,27,30,4,10,1,87,336,21,34,4,8,2,91,340,35,39,2,4,†,†,†,†,†,†,†
BUENA VISTA ELEMENTARY,California,–,–,18,–,11,–,1,–,–,14,1,7,–,1,–,–,15,–,7,–,1,†,†,†,†,†,†,†
BURBANK UNIFIED,California,–,104,393,28,515,3,31,2,115,441,28,561,3,42,2,115,482,47,574,1,53,5,117,548,39,723,2,94
BURLINGAME ELEMENTARY,California,1,82,75,4,186,–,20,1,84,38,1,177,–,31,1,78,49,2,171,2,44,†,†,†,†,†,†,†
BURNT RANCH ELEMENTARY,California,8,–,3,1,3,–,–,2,–,1,–,3,–,–,4,1,2,1,4,–,1,†,†,†,†,†,†,†
BURREL UNION ELEMENTARY,California,–,–,9,–,2,–,–,–,1,8,–,–,–,–,–,–,10,–,1,–,–,†,†,†,†,†,†,†
BURTON ELEMENTARY,California,2,25,348,5,112,2,1,4,30,326,4,95,1,1,5,21,271,4,100,1,3,4,2,80,3,32,1,–
BUTTE COUNTY OFFICE OF EDUCATION,California,–,–,12,–,41,–,5,2,1,15,3,65,–,2,–,2,23,2,54,–,4,3,2,18,1,75,1,5
BUTTE COUNTY ROP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,="0",="0",="0",="0",="0",="0",="0"
BUTTE VALLEY UNIFIED,California,–,–,4,–,6,–,–,3,1,8,–,10,–,–,2,–,14,–,15,–,–,–,–,17,–,12,–,–
BUTTEVILLE UNION ELEMENTARY,California,–,–,4,–,–,–,27,–,–,4,–,–,–,24,–,–,4,–,–,–,14,†,†,†,†,†,†,†
BUTTONWILLOW UNION ELEMENTARY,California,–,–,41,1,1,–,–,–,–,38,–,6,–,–,–,1,36,–,4,–,–,†,†,†,†,†,†,†
BYRON UNION ELEMENTARY,California,4,18,38,10,165,4,6,8,12,56,7,153,4,5,3,19,52,8,147,2,6,–,4,12,1,27,–,2
CA ADVANCING PATHWAYS FOR STUDENTS IN LOS ANGELES CO JPA,CALIFORNIA,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
CA ADVANCING PATHWAYS FOR STUDENTS IN LOS ANGELES CO ROC/P,CALIFORNIA,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
CA SCH FOR THE DEAF-RIVERSIDE (STATE SPECIAL SCHL),California,–,–,13,–,8,–,–,–,–,15,1,9,–,1,–,–,20,1,9,–,2,–,3,11,3,7,–,1
CABRILLO UNIFIED,California,–,7,144,1,105,–,13,–,10,141,1,97,–,12,1,10,134,1,107,2,9,1,5,136,1,106,–,5
CAJON VALLEY UNION,California,5,48,669,118,854,4,89,4,55,678,112,901,13,99,5,58,648,103,858,9,111,†,†,†,†,†,†,†
CALAVERAS COUNTY OFFICE OF EDUCATION,California,1,–,4,–,33,–,5,–,–,10,1,43,1,5,2,–,15,1,30,–,3,–,1,12,2,26,–,4
CALAVERAS UNIFIED,California,2,4,40,2,159,–,8,3,6,46,1,165,–,5,8,5,47,2,159,–,6,3,2,48,2,168,3,10
CALEXICO UNIFIED,California,–,1,727,1,3,–,–,–,3,697,2,1,–,–,–,3,743,–,3,–,–,–,–,766,1,1,–,–
CALIENTE UNION ELEMENTARY,California,–,–,1,–,3,–,1,–,–,–,–,5,–,–,–,–,1,–,7,–,–,†,†,†,†,†,†,†
CALIFORNIA EDUCATION AUTHORITY (CEA) HEADQUARTERS,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,–,–,–,–,1,–,–,–,1,11,3,3,–,–
CALIFORNIA SCHOOL FOR THE BLIND (STATE SPECIAL SCHL),California,–,1,–,–,–,–,–,–,1,2,–,–,–,–,–,–,5,–,2,–,1,–,–,3,–,–,–,–
CALIFORNIA SCHOOL FOR THE DEAF-FREMONT (STATE SPECIAL SCHL),California,–,3,13,2,6,–,1,–,4,18,1,6,–,–,–,5,16,2,12,–,–,–,4,18,5,6,–,2
CALIPATRIA UNIFIED,California,–,1,87,–,6,–,–,–,–,77,1,7,–,1,–,–,71,4,9,–,–,–,–,80,1,14,–,–
CALISTOGA JOINT UNIFIED,California,–,–,65,–,12,–,1,–,1,53,–,3,–,–,–,3,48,–,13,–,1,–,3,53,–,4,–,–
CAMBRIAN,California,4,87,110,10,194,1,17,5,67,79,12,186,2,30,6,76,103,13,183,5,17,†,†,†,†,†,†,†
CAMINO UNION ELEMENTARY,California,2,–,18,–,27,–,7,1,–,16,–,40,–,6,–,–,14,–,28,–,3,†,†,†,†,†,†,†
CAMPBELL UNION,California,3,120,380,20,183,3,55,3,119,344,33,215,8,28,3,120,345,32,211,7,23,†,†,†,†,†,†,†
CAMPBELL UNION HIGH,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,8,433,704,45,719,14,97
CAMPTONVILLE ELEMENTARY,California,1,–,8,2,32,1,4,1,1,13,–,28,–,7,2,1,6,–,34,–,9,–,–,8,–,25,1,8
CANYON ELEMENTARY,California,–,–,–,–,10,–,1,–,–,–,1,4,–,1,–,2,–,–,3,–,2,†,†,†,†,†,†,†
CAPAY JOINT UNION ELEMENTARY,California,–,–,11,–,15,–,1,–,1,9,–,10,–,–,–,–,10,–,10,–,1,†,†,†,†,†,†,†
CAPISTRANO UNIFIED,California,11,335,1126,53,2543,2,253,13,350,1139,63,2372,5,296,3,343,1126,83,2566,7,311,13,321,1154,68,2497,13,321
CARDIFF ELEMENTARY,California,–,1,15,–,89,–,4,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
CARLSBAD UNIFIED,California,2,60,248,7,467,2,50,2,65,265,14,515,1,61,3,69,258,13,502,2,65,2,79,252,13,485,1,72
CARMEL UNIFIED,California,–,13,39,–,123,–,24,–,5,33,2,111,–,33,1,11,37,–,110,–,33,1,10,42,2,145,–,34
CARPINTERIA UNIFIED,California,3,2,146,–,34,–,1,–,3,128,1,40,–,2,–,2,110,–,40,–,4,1,4,117,–,45,1,1
CARUTHERS UNIFIED,California,–,4,95,1,7,–,1,–,8,68,–,9,1,–,1,7,69,–,9,–,2,1,7,131,–,19,–,1
CASCADE UNION ELEMENTARY,California,11,6,25,2,66,1,5,3,10,21,2,63,–,1,4,9,29,3,82,1,1,†,†,†,†,†,†,†
CASTAIC UNION,California,–,13,115,6,122,1,8,–,29,123,6,121,–,12,1,24,121,10,125,–,8,†,†,†,†,†,†,†
CASTLE ROCK UNION ELEMENTARY,California,1,–,2,2,2,–,–,–,–,–,–,5,–,–,1,–,–,–,1,–,–,†,†,†,†,†,†,†
CASTRO VALLEY UNIFIED,California,3,222,165,41,228,4,67,–,224,162,45,204,2,81,1,228,185,43,228,3,88,5,217,190,43,223,6,71
CAYUCOS ELEMENTARY,California,–,1,4,–,16,–,–,–,2,8,–,22,–,4,–,1,2,–,18,–,2,†,†,†,†,†,†,†
CENTER FOR ADVANCED RESEARCH & TECH (CART) JPA,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
CENTER JOINT UNIFIED,California,1,34,87,32,163,2,32,5,40,88,38,159,3,11,2,36,76,39,143,1,14,2,43,89,39,160,6,18
CENTINELA VALLEY UNION HIGH,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,8,68,1644,329,93,24,79
CENTRAL CALIF MIGRANT HEAD START JPA,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
CENTRAL CALIFORNIA SCHOOL FINANCE AUTHORITY JPA,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
CENTRAL ELEMENTARY,California,–,34,283,52,155,2,6,–,33,279,55,130,5,12,3,46,276,45,148,4,10,†,†,†,†,†,†,†
CENTRAL ORANGE COUNTY CTE PARTNERSHIP (CTEP),California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
CENTRAL SIERRA ROP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
CENTRAL SIERRA ROP JPA,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
CENTRAL UNIFIED,California,4,163,725,121,218,5,18,8,176,754,113,199,3,19,8,185,724,120,197,5,13,8,164,709,107,203,2,20
CENTRAL UNION ELEMENTARY,California,22,7,54,19,65,4,11,15,8,57,10,54,–,5,18,10,68,14,41,1,6,†,†,†,†,†,†,†
CENTRAL UNION HIGH,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,1,6,1118,9,50,–,–
CENTRAL VALLEY PRE-SCHOOL JPA,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
CENTRAL VALLEY SUPPORT SERVICES JPA,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
CENTRALIA ELEMENTARY,California,–,153,379,17,85,5,26,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
CERES UNIFIED,California,5,46,808,20,169,10,7,8,61,812,20,140,15,10,7,58,831,27,150,5,11,4,44,842,18,145,13,12
